experiment_name,created_at,model,epochs,macro_pr_auc_human,train_data,backbone_lr,embeddings_lr,train_new_token_embeddings_only,head_lr,train_last_n_layers,layerwise_lr_decay,scheduler,head,train_rows,validation_rows,validation_pairs_hash,s3_path,registry_schema_version,completed_epochs,performance_epochs_observed,train_batch_size,gradient_accumulation_steps,effective_batch_size,max_length,avg_train_epoch_seconds,total_train_seconds,avg_examples_per_second,avg_real_tokens_per_second,avg_padding_efficiency,avg_train_peak_cuda_memory_gib,max_train_peak_cuda_memory_gib,gpu_name,gpu_count,precision,trainable_parameters,warmup_ratio,special_token_initialization,special_token_adaptation_mode,special_token_adaptation_max_optimizer_steps,special_token_adaptation_actual_optimizer_steps,special_token_adaptation_embeddings_lr,special_token_adaptation_full_model_backbone_lr,special_token_adaptation_seconds
mmarco-l12-mix-ner-full_layers-special-tokens,2026-08-27T16:49:40Z,mmarco-mMiniLMv2-L12-H384-v1,15,0.7540674394645082,Human + LLM,3e-05,1e-06,False,0.0001,,0.9,cosine,"Concat(CLS, AttentionPool) -> MLP(hidden=[384]) -> 2 logits, dropout=0.15",3292523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/mmarco-l12-mix-ner-full_layers-special-tokens,1,,,,,,,,,,,,,,,,,,,,,,,,,
bge-reranker-v2-m3-mix750k-native-top3-2ep,2026-08-29T20:35:21Z,bge-reranker-v2-m3,2,0.6430432064190019,Human + LLM,3e-05,3e-05,False,0.0001,3,0.9,cosine,"Hybrid(native=1.0, attention=0.0, weights=fixed)",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/bge-reranker-v2-m3-mix750k-native-top3-2ep,1,,,,,,,,,,,,,,,,,,,,,,,,,
bge-reranker-v2-m3-mix750k-native-top6-2ep,2026-08-29T23:12:05Z,bge-reranker-v2-m3,2,0.7059170780937756,Human + LLM,3e-05,3e-05,False,0.0001,6,0.9,cosine,"Hybrid(native=1.0, attention=0.0, weights=fixed)",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/bge-reranker-v2-m3-mix750k-native-top6-2ep,3,2,2,256,1,256,256,1176.1051410734653,2352.2102821469307,886.4304557772393,194023.32131554093,0.8921379063609716,20.051214694976807,20.051214694976807,NVIDIA H100 80GB HBM3,1,bf16,76627969,0.06,mean_existing_tokens,none,500,0,0.0001,,0.0
bge-reranker-v2-m3-mix750k-native-top12-2ep,2026-08-29T23:21:08Z,bge-reranker-v2-m3,2,0.7588408484560245,Human + LLM,3e-05,3e-05,False,0.0001,12,0.9,cosine,"Hybrid(native=1.0, attention=0.0, weights=fixed)",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/bge-reranker-v2-m3-mix750k-native-top12-2ep,3,2,2,256,1,256,256,1426.4859557617456,2852.971911523491,730.841729273489,159967.81106229307,0.8921379063609716,36.721834659576416,36.721834659576416,NVIDIA H100 80GB HBM3,1,bf16,152205313,0.06,mean_existing_tokens,none,500,0,0.0001,,0.0
bge-reranker-v2-m3-mix750k-native-top24-2ep,2026-08-30T00:26:48Z,bge-reranker-v2-m3,2,0.7680719543562705,Human + LLM,3e-05,3e-05,False,0.0001,24,0.9,cosine,"Hybrid(native=1.0, attention=0.0, weights=fixed)",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/bge-reranker-v2-m3-mix750k-native-top24-2ep,3,2,2,256,1,256,256,1878.1730807265267,3756.3461614530534,555.1162886393573,121504.744490899,0.8921379063609716,70.06307458877563,70.06307458877563,NVIDIA H100 80GB HBM3,1,bf16,303360001,0.06,mean_existing_tokens,none,500,0,0.0001,,0.0
nvidia-llama-reranker-mix750k-native-top4-2ep,2026-08-30T01:24:37Z,nvidia-llama,2,0.6963833967010088,Human + LLM,3e-05,3e-05,False,0.0001,4,0.9,cosine,"Concat(CLS, AttentionPool) -> MLP(hidden=[384]) -> 2 logits, dropout=0.15",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/nvidia-llama-reranker-mix750k-native-top4-2ep,3,2,2,256,1,256,256,2452.430637758225,4904.86127551645,425.1585214237876,96662.83254736551,0.9175327395851154,42.591113567352295,42.591113567352295,NVIDIA H100 80GB HBM3,1,bf16,243288064,0.06,none,none,500,0,0.0001,,0.0
nvidia-llama-reranker-mix750k-native-top8-2ep,2026-08-30T02:18:32Z,nvidia-llama,2,0.7262290691070877,Human + LLM,3e-05,3e-05,False,0.0001,8,0.9,cosine,"Concat(CLS, AttentionPool) -> MLP(hidden=[384]) -> 2 logits, dropout=0.15",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/nvidia-llama-reranker-mix750k-native-top8-2ep,3,2,2,230,1,230,256,3274.541067233309,6549.082134466618,318.37247875025844,72384.26151748319,0.9294878314843544,71.02976322174072,71.02997636795044,NVIDIA H100 80GB HBM3,1,bf16,486574080,0.06,none,none,500,0,0.0001,,0.0
nvidia-llama-reranker-mix750k-native-top16-2ep,2026-08-30T03:35:20Z,nvidia-llama,2,0.73889580891268,Human + LLM,3e-05,3e-05,False,0.0001,16,0.9,cosine,"Concat(CLS, AttentionPool) -> MLP(hidden=[384]) -> 2 logits, dropout=0.15",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/nvidia-llama-reranker-mix750k-native-top16-2ep,3,2,2,108,1,108,256,5111.676691914909,10223.353383829817,203.97335166900342,46374.80126348617,0.9350169199856567,70.74957418441772,70.74975681304932,NVIDIA H100 80GB HBM3,1,bf16,973146112,0.06,none,none,500,0,0.0001,,0.0
bge-reranker-v2-m3-mix750k-native-top24-tok500-2ep,2026-08-30T03:51:46Z,bge-reranker-v2-m3,2,0.769580845008129,Human + LLM,3e-05,3e-05,False,0.0001,24,0.9,cosine,"Hybrid(native=1.0, attention=0.0, weights=fixed)",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/bge-reranker-v2-m3-mix750k-native-top24-tok500-2ep,3,2,2,256,1,256,256,1885.9309144566068,3771.8618289132137,552.8249519574274,121003.21303924057,0.8921379063609716,72.12694787979126,72.28344202041626,NVIDIA H100 80GB HBM3,1,bf16,303360001,0.06,mean_existing_tokens,new_tokens_only,500,500,0.0001,,226.09068584791385
bge-reranker-v2-m3-mix750k-native-top24-tok250-2ep,2026-08-30T06:00:48Z,bge-reranker-v2-m3,2,0.7681141403171994,Human + LLM,3e-05,3e-05,False,0.0001,24,0.9,cosine,"Hybrid(native=1.0, attention=0.0, weights=fixed)",1042523,73131,fb1fc80879188cd90214acbd39d934f8789b5966cf9170c7c46549fd5339b4fa,experiments/bge-reranker-v2-m3-mix750k-native-top24-tok250-2ep,3,2,2,256,1,256,256,1857.610097128898,3715.220194257796,561.2416396596761,122845.47115641469,0.8921379063609716,72.12694787979126,72.28344202041626,NVIDIA H100 80GB HBM3,1,bf16,303360001,0.06,mean_existing_tokens,new_tokens_only,250,250,0.0001,,111.8133102953434
